rate,lower0,upper0,lower1,upper1,lower2,upper2,lower3,upper3,lower4,upper4,lower5,upper5,lower6,upper6,lower7,upper7
0,0,68,0,94,0,133,0,171,0,210,0,243,0,275,0,308
2,68,79,94,243,133,269,171,295,210,300,243,300,275,333,308,372
4,79,252,243,282,269,312,295,345,300,378,300,406,333,431,372,456
6,252,300,282,338,312,369,345,398,378,424,406,450,431,476,456,502
8,300,334,338,365,369,393,398,417,424,444,450,472,476,499,502,527
10,334,363,365,394,393,420,417,445,444,470,472,496,499,525,527,553
12,363,395,394,422,420,450,445,477,470,504,496,531,525,559,553,588
14,395,426,422,455,450,484,477,513,504,543,531,574,559,604,588,632
16,426,550,455,550,484,550,513,557,543,592,574,622,604,652,632,683
18,550,668,550,689,550,710,557,730,592,751,622,771,652,792,683,812
20,668,714,689,738,710,762,730,786,751,810,771,834,792,859,812,884
22,714,750,738,775,762,801,786,826,810,852,834,879,859,905,884,932
24,750,791,775,817,801,844,826,872,852,901,879,929,905,957,932,985
26,791,847,817,876,844,905,872,934,901,963,929,992,957,1021,985,1050
28,847,917,876,949,905,980,934,1012,963,1043,992,1074,1021,1106,1050,1137
30,917,1280,949,1304,980,1328,1012,1352,1043,1377,1074,1401,1106,1425,1137,1449
32,1280,1482,1304,1510,1328,1538,1352,1566,1377,1594,1401,1622,1425,1651,1449,1679
35,1482,1761,1510,1794,1538,1828,1566,1861,1594,1894,1622,1928,1651,1961,1679,1994
38,1761,,1794,,1828,,1861,,1894,,1928,,1961,,1994, 
