pageName|name|testData|xpath

bonusSlipPage|bonusSlipPage|title<name>賞与明細書入力|//html/body/div[2]/div[3]/div[2]/ul/li/a
bonusSlipPage|bonusPaymentSlip||//html/body/div[2]/div[3]/div[2]/ul/li/a

bonusSlipPage|bonusPayment|TS11225<name>20000000<data>TS285<name>12345<data>TS285_neg<name>-54321<data>TS1798<name>1,500,000<data>TS1889<name>900,000<data>TS1969<name>700,000<data>TS4635<name>10000<data>TS4733<name>20000<data>TS473<name>1234|//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[2]/td/div/input
bonusSlipPage|deduction|TS11340_2<name>15000000<data>TS11340<name>8000000<data>TS11271<name>2000000<data>TS11305_2<name>12000000<data>TS11305<name>6000000<data>TS11252<name>21000000<data>TS11249<name>5000000<data>TS11223<name>1300000<data>TS1800<name>1,100<data>TS4635<name>20000|//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[3]/td/div/div/input
bonusSlipPage|deduction2|TS1801<name>2,200<data>TS1885_1<name>2,000,000<data>TS1885_2<name>2,200<data>TS1890<name>50,000<data>TS1967<name>50,000<data>TS1968<name>0<data>TS4635<name>30000<data>TS4733<name>40000|//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[4]/td/div/div/input
bonusSlipPage|deduction3|TS1802<name>3,000<data>TS1970<name>40,000<data>TS1995<name>40,000<data>TS1996<name>0|//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[5]/td/div/div/input
bonusSlipPage|deduction4|TS1803<name>4,000<data>TS1883<name>5,000|//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[6]/td/div/div/input
bonusSlipPage|deduction5|TS1804<name>5,000|//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[7]/td/div/div/input
bonusSlipPage|deduction6|TS1805<name>6,000|//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[8]/td/div/div/input
bonusSlipPage|deduction7|TS1806<name>7,000|//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[9]/td/div/div/input
bonusSlipPage|deduction8|TS1841<name>8,000|//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[10]/td/div/div/input
bonusSlipPage|deduction9|TS1842<name>9,000|//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[11]/td/div/div/input
bonusSlipPage|deduction10|TS1843<name>10,000|//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[12]/td/div/div/input
bonusSlipPage|deduction11|TS1971<name>12,345<data>TS1844<name>11,000<data>TS1884_1<name>1,000<data>TS1884_2<name>11,000<data>TS1891<name>0<data>TS1968_1<name>12,345<data>TS1968_2<name>0<data>TS1996_1<name>12,345<data>TS1996_2<name>0|//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[13]/td/div/div/input
bonusSlipPage|deduction12|TS1846<name>100,000|//html/body/div[2]/div[5]/div/div/div[2]/div/div/div[2]/div/table/tbody/tr[11]/td/div/div/input
bonusSlipPage|deduction13|TS1848<name>1,000|//html/body/div[2]/div[5]/div/div/div[2]/div/div/div[2]/div/table/tbody/tr[12]/td/div/div/input
