pageName|name|testData|xpath

menuBar|menuBar|title<name>menuBar|//html/body/div/div/div/div/div/div/div
menuBar|menu_File|title<name>ファイル|//html/body/div/div/div/div/div/div/div/table/tbody/tr/td/table/tbody/tr/td[2]/div/button
menuBar|menu_File_StopEditModeAndPublish|title<name>公開する|//html/body/div[3]/ul/li[6]/div/div/div/a
menuBar|menu_File_SaveWithNewName|title<name>名前を付けて保存|//html/body/div[3]/ul/li[7]/div/div/div/a
menuBar|menu_File_SaveAndClose|title<name>保存して終了|//html/body/div[3]/ul/li[8]/div/div/div/a
menuBar|menu_File_Print|title<name>印刷|//html/body/div[3]/ul/li[10]/div/div/div/a
menuBar|menu_File_NewAccount|title<name>新規勘定科目|//html/body/div[3]/ul/li[4]/div/div/div/a
menuBar|menu_File_Logout|title<name>ログアウト|//html/body/div[3]/ul/li[13]/div/div/div/a
menuBar|menu_Edit|title<name>編集|//html/body/div/div/div/div/div/div/div/table/tbody/tr/td[2]/table/tbody/tr/td[2]/div/button
menuBar|menu_Edit_Undo|title<name>取り消す|//html/body/div[3]/ul/li/div/div/div/a
menuBar|menu_Edit_Edit|title<name>編集する|//html/body/div[3]/ul/li[2]/div/div/div/a
menuBar|menu_Edit_Cancel|title<name>編集モードを解除する|//html/body/div[3]/ul/li[5]/div/div/div/a
menuBar|menu_Edit_Del|title<name>科目の削除|//html/body/div[3]/ul/li[9]/div/div/div/a
menuBar|menu_Edit_Restore|title<name>削除科目の復帰|//html/body/div[3]/ul/li[11]/div/div/div/a
menuBar|menu_Edit_MoveToUp|title<name>上へ移動する|//html/body/div[3]/ul/li[12]/div/div/div/a
menuBar|menu_Edit_MoveToDown|title<name>下へ移動する|//html/body/div[3]/ul/li[13]/div/div/div/a
menuBar|menu_View|title<name>表示|//html/body/div/div/div/div/div/div/div/table/tbody/tr/td[3]/table/tbody/tr/td[2]/div/button

popUp|popUp|title<name>popUp|//html/body/div[3]/div[3]
popUp|popup_Ok||//html/body/div[3]/div[2]/div/div/div/div[3]/button
popUp|popup_Cancel||//html/body/div[3]/div[2]/div/div/div/div[3]/button[2]
popUp|popup_AccountStructureName||//html/body/div[3]/div[2]/div/div/div/div/div/table/tbody/tr[2]/td[2]/div/input
popUp|msg_Ok||//html/body/div[3]/div[3]/div/div/div/div[2]/button
popUp|msg_Cancel||//html/body/div[3]/div[3]/div/div/div/div[2]/button[2]
popUp|msg|newAccountMsg<name>科目体系を上書きしても宜しいですか？|//html/body/div[3]/div[3]/div/div/div/div/span[2]
popUp|currentAssets|title<name>流動資産|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[2]/div/div[3]/ul/li/div/div/div/span
