pageName|name|testData|xpath
companyClientLayout|code|TS4776<name>12345678901<data>common<name>1234567890|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr/td[3]/input
companyClientLayout|companyType|TS1670<name>合資会社<data>common<name>株式会社<data>TS3680<name>合資会社<data>TS3687<name>合名会社<data>TS3678<name>合同会社<data>TS3652<name>有限会社<data>TS3617<name>その他の法人格<data>TS3097<name>その他の法人格<data>allValues<name>株式会社//有限会社//合同会社//合資会社//合名会社//その他の法人格|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[2]/td[2]/select
companyClientLayout|companyOtherType||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[2]/td[2]/input
companyClientLayout|companyTypePlaceBefore||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[3]/td[2]/span/span/input
companyClientLayout|companyTypePlaceAfter||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[3]/td[2]/span/span[2]/input
companyClientLayout|companyName|TS4776<name>あいうおえ<data>common<name>法人０１<data>TS1670<name>法人０１１|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[4]/td[3]/input
companyClientLayout|companyNameKana|TS4776<name>アイウオエ<data>common<name>ナ<data>TS1670<name>ナナナナ|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[5]/td[3]/input
companyClientLayout|companyDisplayName||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[6]/td[2]/span
companyClientLayout|companyShortName|common<name>略称０１<data>TS1670<name>略称０１１|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[7]/td[2]/input
companyClientLayout|closingDate_Year|TS1331<name>24<data>TS7719<name>25<data>common<name>24<data>common1<name>25|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[8]/td[2]/span[2]/input
companyClientLayout|closingDate_Month|TS1331<name>10<data>TS7719<name>3<data>TS1317<name>6<data>common<name>3|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[8]/td[2]/span[2]/input[2]
companyClientLayout|closingDate_Day|TS1331<name>31<data>TS7719<name>31<data>TS6512<name>29<data>TS1317<name>30<data>common<name>31|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[8]/td[2]/span[2]/input[3]
companyClientLayout|closingDate_Era|common<name>平成|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[8]/td[2]/span[2]/span
companyClientLayout|accountPeriod_StartYear|TS1331<name>23<data>TS7720<name>24<data>common<name>23|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[9]/td[2]/span[2]/input
companyClientLayout|accountPeriod_StartMonth|TS1331<name>11<data>TS7720<name>4<data>common<name>3|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[9]/td[2]/span[2]/input[2]
companyClientLayout|accountPeriod_StartDay|TS1331<name>1<data>TS7720<name>1<data>common<name>4|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[9]/td[2]/span[2]/input[3]
companyClientLayout|accountPeriod_EndYear|TS1331<name>24<data>TS7720<name>25|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[9]/td[2]/span[4]/input
companyClientLayout|accountPeriod_EndMonth|TS1331<name>10<data>TS7720<name>3|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[9]/td[2]/span[4]/input[2]
companyClientLayout|accountPeriod_EndDay|TS1331<name>31<data>TS7720<name>31|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[9]/td[2]/span[4]/input[3]
companyClientLayout|closingType_FullYear||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[10]/td[2]/span[2]/span/input
companyClientLayout|closingType_HalfYear||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[10]/td[2]/span[2]/span[2]/input
companyClientLayout|closingType_Quaterly||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[10]/td[2]/span[2]/span[3]/input
companyClientLayout|closingType_Mouth||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[10]/td[2]/span[2]/span[4]/input
companyClientLayout|accountStructure|common<name>A-SaaS標準 法人全科目|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[11]/td[2]/select
companyClientLayout|manufacturingCostType_Use||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[12]/td[2]/span[2]/span/input
