pageName|name|testData|xpath
employeeInformation|employeeInformation|title<name>社員情報|//html/body/div[2]/div[3]/div[2]/div/ul/li/a
employeeInformation|employeeCode|common<name>765432<data>TS1656<name>010010<data>TS1717<name>010030<data>TS1756<name>010040<data>TS2860_1<name>010010<data>TS2860_2<name>010030<data>TS2860_3<name>010040<data>TS3841<name>010050<data>TS4027<name>010060|//html/body/div[2]/div[5]/div/div/div[2]/div/div/table/tbody/tr/td[2]/div/div/input
employeeInformation|familyName|common<name>姓1<data>TS1657<name>甲野月<data>TS1718<name>甲野月<data>TS1757<name>甲野月<data>TS2860<name>甲野月|//html/body/div[2]/div[5]/div/div/div[2]/div/div/table/tbody/tr[2]/td[2]/div/div/input
employeeInformation|firstName|common<name>名2<data>TS1659<name>一郎<data>TS1720<name>三郎<data>TS1759<name>四郎<data>TS2860_1<name>一郎<data>TS2860_2<name>三郎<data>TS2860_3<name>四郎<data>TS3841<name>五郎<data>TS4027<name>六郎|//html/body/div[2]/div[5]/div/div/div[2]/div/div/table/tbody/tr[2]/td[2]/div[2]/div/input
employeeInformation|familyNameKana|common<name>セイ1<data>TS1658<name>コウノヅキ<data>TS1719<name>コウノヅキ<data>TS1758<name>コウノヅキ|//html/body/div[2]/div[5]/div/div/div[2]/div/div/table/tbody/tr[3]/td/div/div/input
employeeInformation|firstNameKana|common<name>メイ2<data>TS1660<name>イチロウ<data>TS1721<name>サブロウ<data>TS1760<name>シロウ|//html/body/div[2]/div[5]/div/div/div[2]/div/div/table/tbody/tr[3]/td/div[2]/div/input
employeeInformation|selEmployeeBri|regular<name>正社員(販売費・一般管理費)<data>TS1661<name>正社員(販売費・一般管理費)<data>TS1722<name>正社員(販売費・一般管理費)<data>TS1761<name>正社員(販売費・一般管理費)<data>common<name>役員(または専従者)<data>allValues<name>役員(または専従者)//正社員(販売費・一般管理費)//正社員以外(販売費・一般管理費)//正社員(製造)//正社員以外(製造)|//html/body/div[2]/div[5]/div/div/div[2]/div/div/table/tbody/tr[5]/td[2]/div/div/select
employeeInformation|title|TS1662<name>部長<data>TS1723<name>課長<data>TS1762<name>課長<data>allValues<name>代表取締役//取締役//部長//課長//社員//パート//監査役//選択なし//手入力<data>TS439<name>手入力<data>TS4782_1<name>社員<data>TS4782_2<name>選択なし<data>allValues2<name>監査役//部長//課長//社員//パート//手入力//選択なし|//html/body/div[2]/div[5]/div/div/div[2]/div/div/table/tbody/tr[6]/td[2]/div/div/select
employeeInformation|manualTitle|TS5431<name>手入<data>TS5434<name>手入2<data>TS4792<name>手入手入手入手入手入手入|//html/body/div[2]/div[5]/div/div/div[2]/div/div/table/tbody/tr[6]/td[2]/div/div/input
employeeInformation|era|common<name>大正<data>TS1663<name>昭和<data>TS1724<name>昭和<data>TS1763<name>昭和<data>TS719<name>平成|//html/body/div[2]/div[5]/div/div/div[2]/div/div/table/tbody/tr[7]/td[2]/div/span/div/select
