pageName|name|testData|xpath
assetBase|account_Input|TS345<name>211 建物|//div[3]/table/tbody[2]/tr/td[2]/div/i/input
assetBase|account_Button||//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[2]/div/div/div[3]/table/tbody[2]/tr/td[2]/div/i/i
assetBase|account_List|TS7831<name>224<data>TS8097<name>216<data>TS7938<name>215<data>TS7737<name>214<data>TS7390<name>213<data>TS7487<name>212<data>TS7399<name>211<data>TS6402<name>291<data>TS4647<name>216<data>TS4655<name>215<data>TS4604<name>215<data>TS2909<name>214<data>TS2740<name>241<data>TS3796<name>251<data>TS3752<name>242<data>TS3654<name>215<data>TS3432<name>223<data>TS3321<name>212<data>TS2184<name>296<data>TS345<name>211<data>TS2463<name>216<data>TS2643<name>219<data>TS2079<name>241<data>TS2091<name>214<data>TS2090<name>215<data>TS2870<name>211<data>TS2619<name>251<data>TS2506<name>215<data>TS349<name>213<data>TS2010<name>211<data>TS3147<name>212<data>TS2430<name>213|//html/body/div[4]/div/div/div[3]/table/tbody[2]/tr
assetBase|account_List_dis|TS6366<name>211 建物|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[2]/div/div/div[3]/table/tbody[2]/tr/td[2]/div/i/input
assetBase|account_List_firstLine|code<name>211<data>name<name>建物|//html/body/div[4]/div/div/div/table/tbody/tr
assetBase|accountAsset_Code|TS8021<name>3<data>TS8142<name>2<data>TS7401<name>1<data>TS6167<name>1<data>TS4648<name>19<data>TS4656<name>18<data>TS2910<name>14<data>TS3797<name>51<data>TS4605<name>18<data>TS3753<name>42<data>TS3606<name>16<data>TS3655<name>15<data>TS3436<name>23<data>TS3322<name>14<data>TS2647<name>50<data>TS2080<name>41<data>TS2095<name>14<data>TS2094<name>15<data>TS2871<name>11<data>TS2620<name>51<data>common<name>123456<data>TS740<name>123456-0000<data>TS2011<name>11<data>TS3148<name>12<data>TS2431<name>13<data>TS2508<name>15|//div[3]/table/tbody[2]/tr[2]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/div/input
assetBase|accountAsset_CodeSuffix|TS4649<name>3<data>TS4657<name>3<data>TS3013<name>3<data>TS2911<name>2<data>TS3798<name>3<data>TS4606<name>2<data>TS2857<name>2<data>TS3988<name>9<data>TS3958<name>8<data>TS3469<name>10<data>TS3323<name>1<data>TS3534<name>7<data>TS3245<name>6<data>TS3100<name>5<data>TS3040<name>2<data>TS2521<name>4<data>TS2414<name>3<data>TS2193<name>1<data>common<name>0000<data>TS2164<name>2<data>TS2648<name>1<data>TS2085<name>4<data>TS2807<name>4<data>TS2599<name>3<data>TS2099<name>1<data>TS2098<name>3<data>TS2097<name>4<data>TS2096<name>3<data>TS2621<name>1<data>TS2514<name>12<data>TS2220<name>2<data>TS2432<name>1<data>TS2012<name>1<data>TS2510<name>11|//div[3]/table/tbody[2]/tr[2]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/div/input[2]
assetBase|accountAsset_capitalExpense|TS5810_3<name>前期までの合計<data>TS5810_2<name>当期資本的支出<data>TS5810_1<name>資本的支出なし<data>TS5679<name>当期資本的支出<data>TS5678<name>前期資本的支出<data>TS2013<name>資本的支出なし|//div[3]/table/tbody[2]/tr[2]/td[4]/div/select
assetBase|accountAsset_Name|TS8620<name>除却工具器具備品３<data>TS8023<name>移動機械装置３<data>TS7820<name>新規取得航空機２<data>TS7475<name>新機取得工具器具備品２<data>TS8421<name>新規取得車両運搬具２<data>TS8369<name>新規取得機械装置２<data>TS7345<name>新規取得構築物２<data>TS8153<name>新規取得建物付属設備１<data>TS7833<name>前年以前航空機１<data>TS8099<name>前年以前工具器具備品１<data>TS7940<name>前年以前車両運搬具１<data>TS7739<name>前年以前機械装置１<data>TS7400<name>前期以前構築物１<data>TS7494<name>前期以前建物付属設備１<data>TS7405<name>前期以前建物１<data>TS5672<name>1111111111222222222233333333334444444444<data>TS4651<name>大阪工場事務机20<data>TS4658<name>本社営業車(日産20)<data>TS3989<name>開発費9<data>TS3015<name>生物（残存100000）<data>TS2913<name>大阪工場機械装置2<data>TS3800<name>工場システム開発費<data>TS4608<name>本社営業車（トヨタ20） <data>TS3444<name>栗の木<data>TS3023<name>パソコン<data>TS3685<name>大阪工場事務机<data>TS3434<name>本社営業車（トヨタ）<data>TS3276<name>大阪工場冷蔵倉庫<data>TS3756<name>特許権<data>TS3095<name>パソコン<data>TS3471<name>自転車<data>TS3609<name>本社事務机<data>TS3658<name>大阪工場配送用自動車<data>TS3959<name>開発費8<data>TS3535<name>開発費7<data>TS3246<name>開発費6<data>TS3101<name>開発費5<data>TS3042<name>開発費2<data>TS2522<name>開発費4<data>TS2415<name>開発費3<data>TS2201<name>開発費1<data>TS2471<name>PC　ディスプレー<data>TS2175<name>本社社長室PC2<data>TS2650<name>本社社長室PC<data>TS2087<name>車両<data>TS2809<name>大阪工場機械装置4<data>TS2601<name>大阪工場機械装置3<data>TS2165<name>営業権<data>TS2107<name>大阪工場機械装置<data>TS2106<name>本社営業車（日産）<data>TS2105<name>大阪工場冷蔵倉庫3<data>TS2104<name>大阪工場冷蔵倉庫2<data>TS2874<name>本社冷蔵倉庫<data>TS2623<name>基幹システム開発費第一次<data>TS2513<name>大阪工場配送用自動車<data>TS2223<name>大阪工場<data>TS3152<name>大阪工場電気設備<data>TS2434<name>大阪工場屋上看板<data>TS2014<name>大阪工場<data>TS2043<name>本社社屋|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[2]/div/div/div[3]/table/tbody[2]/tr[3]/td[2]/div/input
assetBase|calculationBasicData|TS5642<name>平成24年 2月 29日<data>TS6548<name>平成24年 5月 29日<data>TS6534<name>平成24年 5月 31日<data>TS6512<name>平成24年 6月 29日<data>TS1317<name>平成24年 6月 30日|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr/td/table/tbody/tr/td/table/tbody/tr/td/table/tbody/tr/td[3]/select
