pageName|name|testData|xpath
menuBar|menuBar|title<name>menuBar|//html/body/div/div/div/div/div/div/div
menuBar|menu_Login|title<name>登録|//html/body/div/div/div/div/div/div/div/table/tbody/tr/td[4]/table/tbody/tr/td[2]/div/button
menuBar|menu_AccountBalance|title<name>残高入力|//html/body/div[2]/ul/li[5]/a

CashManagementReport|Title|title<name>資金繰管理表|//html/body/div/div/div/div[2]/div/div/div/div/span
CashManagementReport|selectedMonth|TS2926<name>11<data>TS2756<name>2<data>TS2756_2<name>3|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div/div/div/div/input
CashManagementReport|firstMonth|TS2926<name>12|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[2]/td
CashManagementReport|lastQuarter|TS2830<name>-100000|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div/div/div/div[3]/span/input
CashManagementReport|moneyUnit|TS2933<name>千円|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div/div/div/div[5]/select

CashManagementReport|cashSales|TS2936<name>現金売上|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[4]/td[3]/span
CashManagementReport|collectiongOfBills|TS2936<name>売掛金回収|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[5]/td/span
CashManagementReport|chargeForCollection|TS2936<name>受取手形期日取立|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[6]/td/span
CashManagementReport|advanceReceived_t|TS2936<name>前受金|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[7]/td/span
CashManagementReport|interestIncome_t|TS2936<name>受取利息等|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[8]/td/span|/
CashManagementReport|nonoperatingIncome_t|TS2936<name>営業外収入|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[9]/td/span
CashManagementReport|otherOrdinaryIncome_t|TS2936<name>その他経常収入|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[10]/td/span
CashManagementReport|totalOrdinaryIncome_t|TS2936<name>経常収入計|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[11]/td/span

CashManagementReport|cashPurchase|TS2936<name>現金仕入|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[12]/td[2]/span
CashManagementReport|accountsPayble|TS2936<name>買掛金支払|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[13]/td/span
CashManagementReport|billPayable|TS2936<name>支払手形決済|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[14]/td/span
CashManagementReport|arrearsAndDisExp|TS2936<name>未払金・前渡金|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[15]/td/span
CashManagementReport|laborCosts|TS2936<name>人件費支出|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[16]/td/span
CashManagementReport|interestAndDisExp|TS2936<name>支払利息割引料|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[17]/td/span
CashManagementReport|sundryExp|TS2936<name>諸経費支出|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[18]/td/span
CashManagementReport|otherordinaryExp|TS2936<name>その他経常支出|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[19]/td/span
CashManagementReport|totalordinaryExp|TS2936<name>経常支出計|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[20]/td/span

CashManagementReport|fixedDepPayOff|TS2936<name>固定性預金払戻|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[22]/td[3]/span
CashManagementReport|moneyInvPayOff|TS2936<name>定期性預金払戻|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[23]/td/span
CashManagementReport|shortTermLoans|TS2936<name>短期借入金借入|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[24]/td/span
CashManagementReport|longTermLoans|TS2936<name>長期借入金借入|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[25]/td/span
CashManagementReport|discountingOfABill|TS2936<name>手形割引|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[26]/td/span
CashManagementReport|investmentEar|TS2936<name>投資収入|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[27]/td/span
CashManagementReport|securitiesSale|TS2936<name>有価証券売却|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[28]/td/span
CashManagementReport|fixedAssetSale|TS2936<name>固定資産売却|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[29]/td/span
CashManagementReport|settingIncome|TS2936<name>決算関連収入|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[30]/td/span
CashManagementReport|otherTreasuryIncome|TS2936<name>その他財務等収入|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[31]/td/span
CashManagementReport|totalTreasuryIncome_t|TS2936<name>財務等収入計|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[32]/td/span

CashManagementReport|fixedDepDep|TS2936<name>固定性預金預入|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[33]/td[2]/span
CashManagementReport|shortTermLoansPayRet|TS2936<name>短期借入金返済|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[34]/td/span
CashManagementReport|longTermLoansPayRet|TS2936<name>長期借入金返済|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[35]/td/span
CashManagementReport|investmentSpending|TS2936<name>投資支出|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[36]/td/span
CashManagementReport|securitiesBuy|TS2936<name>有価証券購入|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[37]/td/span
CashManagementReport|fixedassetBuy|TS2936<name>固定資産購入|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[38]/td/span
CashManagementReport|settingExp|TS2936<name>決算関連支出|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div[2]/div/div/div/div/div/table/tbody/tr[39]/td/span
