pageName|name|testData|xpath
serviceList|serviceList|title<name>業務から選ぶ|//html/body/div/div/div[2]/div/div/div/div/div[3]/ul/li[2]/div/div/div/span
serviceList|projectID|subAccountPage<name>0122<data>outsourcerLoginPage<name>0152<data>constructionTypePage<name>0151<data>constructionInformationLogin<name>0150<data>ccmItemLabelPage<name>0159<data>cashManagementReport<name>0113<data>accountStructureMaintenance<name>0125<data>accountBasicInfo<name>0120<data>dep_assets<name>0400<data>dep_reportDprcCommon<name>0410<data>dep_basicInfo<name>0420<data>dep_assetsItem<name>0421<data>dep_installLocation<name>0422<data>dep_dep<name>0423<data>clientsettingpage<name>0510<data>employeesettingpage<name>0511<data>paymentstatements<name>0500<data>bonuspaymentstatements<name>0501<data>annualadjustment<name>0502<data>clientcompanydetailpage<name>2100<data>socialinsurancecalculation<name>0503<data>courseregistration<name>0121<data>departmentInfReg<name>0140<data>balance<name>0124|//html/body/div/div/div/div/div/div/div[2]/div/span[2]/input
serviceList|menuList||//html/body/div/div/div/div/div/div/div/div[4]/img
serviceList|returnDashboard||//html/body/div/div/div/div/div/div/div/div/ul/li[2]/a
serviceList|businessList|TS1867<name>業務一覧|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div/div/div

businessDepreciation|businessDepreciation|title<name>減価償却業務|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div/div/div[2]/div/div/div/div/div/div/div/table/tbody/tr/td/table/tbody/tr[7]/td/div/div/div
businessDepreciation|businessDepreciation_dis|TS1867<name>04 減価償却業務|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div
businessDepreciation|dep_Assets|disp<name>資産入力|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div[3]/div/div[2]/div/div/div/table/tbody/tr[2]/td/div/div/div/div
businessDepreciation|dep_BasicInfo|disp<name>資産基本情報登録|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div[3]/div[3]/div[2]/div/div/div/table/tbody/tr[2]/td/div/div/div/div
businessDepreciation|dep_AssetsItem|disp<name>資産科目登録|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div[3]/div[3]/div[2]/div/div/div/table/tbody/tr[2]/td[2]/div/div/div/div
businessDepreciation|dep_Location|disp<name>設置場所登録|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div[3]/div[3]/div[2]/div/div/div/table/tbody/tr[2]/td[3]/div/div/div/div
businessDepreciation|dep_Dep|disp<name>資産部門登録|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div[3]/div[3]/div[2]/div/div/div/table/tbody/tr[3]/td/div/div/div/div

payrollService|payrollService|TS2005<name>05 給与計算業務|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div/div/div[2]/div/div/div/div/div/div/div/table/tbody/tr/td/table/tbody/tr[9]/td/div/div/div
payrollService|companyReg|TS2005<name>10 会社情報登録|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div[3]/div[2]/div[2]/div/div/div/table/tbody/tr[2]/td/div/div/div/div
payrollService|payrollCalc|TS2005<name>00 給与計算|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div[3]/div/div[2]/div/div/div/table/tbody/tr[2]/td/div/div/div/div
payrollService|bonusCalc|TS2005<name>01 賞与計算|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div[3]/div/div[2]/div/div/div/table/tbody/tr[2]/td[2]/div/div/div/div
payrollService|annualAdj|TS2005<name>02 年末調整|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div[3]/div/div[2]/div/div/div/table/tbody/tr[2]/td[3]/div/div/div/div
payrollService|employeeReg|TS2005<name>11 社員情報登録|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div[3]/div[2]/div[2]/div/div/div/table/tbody/tr[2]/td[2]/div/div/div/div

adviserService|advisorService|title<name>顧問先情報|//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div/div/div[2]/div/div/div/div/div/div/div/table/tbody/tr/td/table/tbody/tr[13]/td/div/div/div
adviserService|adviserReg||//html/body/div/div/div[2]/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div[3]/div/div[2]/div/div/div/table/tbody/tr[2]/td/div/div/div/div

adviserList|adviserList|title<name>顧問先から選ぶ|//html/body/div/div/div[2]/div/div/div/div/div[3]/ul/li/div/div/div/span
adviserList|adviserList_AddMore||//html/body/div/div/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div[2]/div/div/div/div/div[5]/div/div[2]/div/div/div/table/tbody/tr/td[2]/table/tbody/tr/td/table/tbody/tr/td
adviserList|adviserList_AddIndividual||//html/body/div[2]/ul/li[2]/div/div/div
adviserList|payrollPeriodOne|TS5794<name>平成24年3月期<data>TS4893<name>年<data>TS4853_1<name>平成25<data>TS4853_2<name>平成24|//html/body/div/div/div[2]/div/div/div/div[2]/div/div/div/div/div[2]/div/div[2]/div/div/div[3]/ul/li/div/div/div/span
adviserList|payrollPeriodTwo||//html/body/div/div/div[2]/div/div/div/div[2]/div/div/div/div/div[2]/div/div[2]/div/div/div[3]/ul/li[2]/div/div/div/span
adviserList|payrollDataOne||//html/body/div/div/div[2]/div/div/div/div[2]/div/div/div/div/div[2]/div/div[2]/div/div[2]/div/div/div/div/div[4]/div[2]/div/div[3]/div/table/tbody/tr/td/div/div/div/div			 
