pageName|name|testData|xpath 
clientAccountList|fixedAsset||//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[2]/div/div[3]/ul/li[2]/div/div/div/span
clientAccountList|fixedAsset_line|TS8012<name>工具器具備品|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[9]/td/div
clientAccountList|fixedAsset_line_name|TS8012<name>航空機|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[10]/td/div/input
clientAccountList|fixedAsset_line_code|TS8012<name>224|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[10]/td[2]/div/input
clientAccountList|fixedAsset_line_shortName|TS8012<name>航空機|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[10]/td[3]/div/input
clientAccountList|fixedAsset_line_kanaName|TS8012<name>コウクウキ|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[10]/td[4]/div/input
clientAccountList|fixedAsset_line_next|TS8012<name>航空機|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[10]/td/div
clientAccountList|clientAccountCode1|TS1899<name>211|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[3]/td[2]/div
clientAccountList|clientAccountCode2|TS1899<name>2111|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[4]/td[2]/div/input
clientAccountList|subjectNameAbbreviation2|TS1899<name>建物1|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[4]/td[3]/div/input
clientAccountList|cashItem|TS620<name>現金|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[6]/td/div
clientAccountList|lcashItem||//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[7]/td/div
clientAccountList|cashItem_input||//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[6]/td/div/input
clientAccountList|cashItem_select|seldClassName<name>z-treerow-seld|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[6]
clientAccountList|officialAccountName|TS638<name>正式科目名|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div/table/tbody[2]/tr/th/div
clientAccountList|officialAccountName_cashItem|TS638<name>現金1|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[6]/td/div/input
clientAccountList|code|TS638<name>コード|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div/table/tbody[2]/tr/th[2]/div
clientAccountList|code_cashItem|TS638<name>1111|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[6]/td[2]/div/input
clientAccountList|shortAccountName|TS638<name>略科目名|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div/table/tbody[2]/tr/th[3]/div
clientAccountList|shortAccountName_cashItem|TS638<name>現金1|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[6]/td[3]/div/input
clientAccountList|kanaName|TS638<name>読み仮名|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div/table/tbody[2]/tr/th[4]/div
clientAccountList|kanaName_cashItem|TS638<name>ゲンキン1|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[6]/td[4]/div/input
clientAccountList|debitType|TS638<name>貸借|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div/table/tbody[2]/tr/th[5]/div
clientAccountList|fixTpye|TS638<name>固変区分|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div/table/tbody[2]/tr/th[6]/div
clientAccountList|fixTpye_cashItem|TS638<name>固定|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[6]/td[6]/div/select
clientAccountList|taxType|TS638<name>課非区分|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div/table/tbody[2]/tr/th[7]/div
clientAccountList|taxType_cashItem|TS638<name>11 課税売上|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[6]/td[7]/div/select
clientAccountList|taxRate|TS638<name>税率|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[3]/div[2]/div/div/div/div/div[2]/div/div/div/div/table/tbody[2]/tr/th[8]/div

