pageName|name|testData|xpath
ordinaryDecision|ordinaryDecision||/html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/table/tbody/tr/td/table/tbody/tr/td/div/div/table/tbody/tr[2]/td/div
ordinaryDecision|ordinaryDecisionCaption|common<name>定時決定|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[2]/div/div/div/table/tbody/tr/td
ordinaryDecision|employeeName||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[5]/td[2]/span
ordinaryDecision|formerHealthInsuranceGeneralReward|TS7405_1<name>58<data>TS7405_2<name>1210<data>TS7405_3<name>999|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[5]/td[5]/table/tbody/tr/td/table/tbody/tr/td[3]/input
ordinaryDecision|formerSocialSecurityGeneralReward|TS7407_1<name>98<data>TS7407_2<name>620<data>TS7407_3<name>400|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[5]/td[5]/table/tbody/tr/td/table/tbody/tr/td[11]/input
ordinaryDecision|paymentDateDD|value<name>15<data>TS4769<name>abc<data>TS4769_2<name>122<data>TS4769_3<name>31<data>TS4769_4<name>35|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[6]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/input
ordinaryDecision|paymentDateDD2||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[7]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/input
ordinaryDecision|paymentDateDD3||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[8]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/input
ordinaryDecision|sumTotalAmount|common<name>1|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[6]/td[6]/input
ordinaryDecision|averageAmount||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[7]/td[6]/input
ordinaryDecision|HealthInsuranceGeneralReward||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[8]/td[6]/table/tbody/tr/td/table/tbody/tr/td[3]/input
ordinaryDecision|SocialSecurityGeneralReward||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[8]/td[7]/div/table/tbody/tr/td/table/tbody/tr/td[3]/input

occasionalDecision|occasionalDecision||/html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/table/tbody/tr/td/table/tbody/tr/td/div/div/table/tbody/tr[3]/td/div
occasionalDecision|oDCaption|common<name>随時改定|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[2]/div/div/div/table/tbody/tr/td
occasionalDecision|oDEmployeeName||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[5]/td[2]/span
occasionalDecision|oDformerHealthInsuranceGeneralReward|TS7405_1<name>58<data>TS7405_2<name>1210<data>TS7405_3<name>999|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[5]/td[5]/table/tbody/tr/td/table/tbody/tr/td[3]/input
occasionalDecision|oDformerSocialSecurityGeneralReward|TS7407_1<name>98<data>TS7407_2<name>620<data>TS7407_3<name>400|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[5]/td[5]/table/tbody/tr/td/table/tbody/tr/td[11]/input
occasionalDecision|oDpaymentDateDD|value<name>15|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[6]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/input
occasionalDecision|oDpaymentDateDD2||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[7]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/input
occasionalDecision|oDpaymentDateDD3||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[8]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/input
occasionalDecision|oDsumTotalAmount|common<name>1|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[6]/td[6]/input
occasionalDecision|oDaverageAmount||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[7]/td[6]/input
occasionalDecision|oDfixedAverageAmount|common<name>220000|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[7]/td[7]/div/input
occasionalDecision|oDHealthInsuranceGeneralReward|TS7199<name>220000|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[8]/td[6]/table/tbody/tr/td/table/tbody/tr/td[3]/input
occasionalDecision|oDSocialSecurityGeneralReward|TS7199<name>220000|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[3]/div[3]/table/tbody[2]/tr[8]/td[7]/div/table/tbody/tr/td/table/tbody/tr/td[3]/input

BaseAmountPayrollSummarySheet|BaseAmountPayrollSummarySheet||//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/table/tbody/tr/td/table/tbody/tr/td/div/div/table/tbody/tr[5]/td/div
BaseAmountPayrollSummarySheet|SummarySheetCaption|common<name>算定基礎賃金集計表|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[2]/div/div/div/table/tbody/tr/td

BaseAmountPayrollSummarySheet|subject2displayOrder21number||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[2]/div/table/tbody/tr[2]/td/div/table/tbody/tr/td/table/tbody/tr[3]/td/div/div[3]/table/tbody[2]/tr/td[2]/div/input
BaseAmountPayrollSummarySheet|subject2displayOrder21number2||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[2]/div/table/tbody/tr[2]/td/div/table/tbody/tr/td/table/tbody/tr[3]/td/div/div[3]/table/tbody[2]/tr[2]/td[2]/div/input
BaseAmountPayrollSummarySheet|subject2displayOrder21number3||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[2]/div/table/tbody/tr[2]/td/div/table/tbody/tr/td/table/tbody/tr[3]/td/div/div[3]/table/tbody[2]/tr[3]/td[2]/div/input
BaseAmountPayrollSummarySheet|subject2displayOrder21number4||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div/div/div/div/div[3]/div/fieldset/div/div[2]/div/table/tbody/tr[2]/td/div/table/tbody/tr/td/table/tbody/tr[3]/td/div/div[3]/table/tbody[2]/tr[4]/td[2]/div/input
