pageName|name|testData|xpath
companyBasicInformation|companyBasicInformation|title<name>基本情報|//html/body/div/div[2]/div[3]/div[2]/ul/li/a
companyBasicInformation|companyCode|common<name>1234567890<data>TS3862_1<name>123456789<data>TS3862_2<name>1234567890<data>TS3862_3<name>1234567891<data>ACC<name>111111111|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr/td
companyBasicInformation|companyType_name|value<name>法人格|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[2]/th
companyBasicInformation|companyType|TS3701<name>合資会社<data>TS3703<name>合名会社<data>TS3693<name>有限会社<data>TS3694<name>合同会社<data>common<name>株式会社<data>TS3680<name>合資会社<data>TS3687<name>合名会社<data>TS3678<name>合同会社<data>TS3652<name>有限会社<data>TS3617<name>その他の法人格<data>TS3097<name>その他の法人格<data>allValues<name>株式会社//有限会社//合同会社//合資会社//合名会社//その他の法人格|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[2]/td/select
companyBasicInformation|otherCompanyType_name|value<name>その他の法人格|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[3]/th
companyBasicInformation|otherCompanyType|common<name>其它法人格<data>TS2976<name>４５６７８９<data>TS4402_1<name>１２３４５６７８９０１２３４５６７８９０１２３４<data>TS4402_2<name>123456|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[2]/td[2]/input
companyBasicInformation|otherCompanyTypekana_name|value<name>その他の法人格 フリガナ|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[3]/th
companyBasicInformation|otherCompanyTypekana|common<name>リガ|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[3]/td/input
companyBasicInformation|beforOrAfterCorporateStatus_name|value<name>法人格前後指定|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[4]/th
companyBasicInformation|beforeButton||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[4]/td/input
companyBasicInformation|afterButton||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[4]/td/input[2]
companyBasicInformation|companyName_name|value<name>法人名称|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[5]/th/span
companyBasicInformation|companyName|TS3617<name>３４４９４８９３４４９４８９３４４９４８<data>common<name>３４４９４８９<data>TS3862_1<name>フフフフ<data>TS3862_2<name>フフフフ<data>TS3862_3<name>フフフフフ<data>ACC<name>３４４３４４３４４<data>TS2860<name>３４産業<data>TS4509<name>３４４９４８９３４４９４８３４４９４８９９４８９８|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[5]/td/input
companyBasicInformation|companyKana_name|value<name>法人名称フリガナ|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[6]/th/span
companyBasicInformation|companyKana|TS3617<name>ィクィィ<data>common<name>ィクィ<data>TS3776<name>ィクィィクィ<data>TS3599<name>ィクィィク<data>TS4435<name>ィクィィクィクィィクィクィィクィクィィクィクィィクィクィィクィクィィクィクィィクィクィィクィクィィクィクィィクィクィィク|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[6]/td/input
companyBasicInformation|companyDisplayName||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[7]/td
companyBasicInformation|companyDisplayNameKana|TS4437<name>カブシキガイシャ<data>TS4422<name>フフフフフフフフフフフフ<data>TS4423_1<name>フフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフフ<data>TS4423_2<name>法人表記名称<data>TS4507<name>ィィィィィィィ|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div/table/tbody/tr[8]/td
companyBasicInformation|zipCode1|common<name>321|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr/td/div/input
companyBasicInformation|zipCode2|common<name>4321|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr/td/div/input[2]
companyBasicInformation|check||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr/td/div/button
companyBasicInformation|governmentCode|common<name>09209|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[2]/td/input
companyBasicInformation|companyAddressProvince_name|value<name>都道府県|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[3]/td/div/div
companyBasicInformation|companyAddressCity_name|value<name>市区町村|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[3]/td/div/div[2]
companyBasicInformation|companyAddressTwon_name|value<name>町域|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[3]/td/div/div[3]
companyBasicInformation|companyAddressStreet_name|value<name>番地|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[3]/td/div/div[3]
companyBasicInformation|companyAddressBuilding_name|value<name>建物名|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[3]/td/div[4]/div[2]
companyBasicInformation|companyAddressProvinceKana||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[3]/td/div[2]/div/input
companyBasicInformation|companyAddressCityKana1||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[3]/td/div[2]/div[2]/input
companyBasicInformation|companyAddressCityKana2||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[3]/td/div[3]/div[2]/input
companyBasicInformation|companyAddressTwonKana1||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[3]/td/div[2]/div[3]/input
companyBasicInformation|companyAddressTwonKana2||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[3]/td/div[3]/div[3]/input
companyBasicInformation|companyAddressStreetKana1|common<name>大同|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[3]/td/div[5]/div/input
companyBasicInformation|companyAddressStreetKana2|common<name>コバヤシ|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[3]/td/div[6]/div/input
companyBasicInformation|companyAddressBuildingKana1|common<name>大同|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[3]/td/div[5]/div[2]/input
companyBasicInformation|companyAddressBuildingKana2|common<name>コバヤシ|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[3]/td/div[6]/div[2]/input
companyBasicInformation|telephoneNumber1|TS13509<name>12345<data>TS3584<name>123456<data>common<name>1002|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[6]/td/div/input
companyBasicInformation|telephoneNumber2|TS3584<name>5678<data>common<name>1234|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[6]/td/div/input[2]
companyBasicInformation|telephoneNumber3|TS3584<name>1002<data>common<name>5678|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[3]/table/tbody/tr[6]/td/div/input[3]
companyBasicInformation|currentYear|TS11346<name>25<data>TS11265<name>24<data>TS1553<name>24<data>TS2860<name>23|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[5]/table/tbody/tr/td/input
companyBasicInformation|payrollPeriod||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[5]/table/tbody/tr/td
companyBasicInformation|thisMonth||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[5]/table/tbody/tr[2]/td/span/input
companyBasicInformation|nextMonth||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[5]/table/tbody/tr[2]/td/span/input[2]
companyBasicInformation|paymentDay|TS1564<name>25<data>common<name>2<data>TS714<name>2|//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[5]/table/tbody/tr[3]/td/input
companyBasicInformation|socialInsuranceJoin||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[5]/table/tbody/tr[4]/td/div/input
companyBasicInformation|laborInsuranceOwnership||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[5]/table/tbody/tr[5]/td/span/input
companyBasicInformation|specialPaymentPeriodFlag||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[5]/table/tbody/tr[5]/td/span[3]/input
companyBasicInformation|constructionPeriodFlag||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[5]/table/tbody/tr[5]/td/span[3]/input[2]
companyBasicInformation|otherPeriodFlag||//html/body/div/div[2]/div[4]/div/div/div[2]/div/div[5]/table/tbody/tr[5]/td/span[3]/input[3]
