pageName|name|testData|xpath 

clientBalance|fixedAsset||//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div/div/div[3]/ul/li[2]/div/div/div
clientBalance|cashItem|TS660<name>1000000<data>TS2829<name>100000|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr/td/div
clientBalance|cashItem2|TS2829<name>100000|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[2]/td/div
clientBalance|cashItem3|TS2829<name>100000|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[3]/td/div
clientBalance|cashItem4|TS2829<name>100000|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[4]/td/div
clientBalance|cashItem5|TS2829<name>100000|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[5]/td/div
clientBalance|cashItem6|TS2829<name>100000|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[6]/td/div
clientBalance|cashItem7|TS2829<name>100000|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[7]/td/div
clientBalance|cashItem8|TS2829<name>100000|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[8]/td/div
clientBalance|cashItem9|TS2829<name>100000|//html/body/div/div/div/div[2]/div[2]/div/div/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div[2]/table/tbody[2]/tr[9]/td/div
