pageName|name|testData|xpath
paymentSlip|enterPayslip||//html/body/div[2]/div[3]/div[2]/ul/li/a
paymentSlip|paySlipPage|value<name>給料明細書入力|//html/body/div[2]/div/h4
paymentSlip|restoreModifyForm|value<name>訂正値を自動計算された元の値に戻します。<data>LockConfirmation<name>支給済にします|//html/body/div[4]/div/div/div[2]
paymentSlip|salaryFirstMonth|TS1618<name>12月分|//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li/a
paymentSlip|firstLockIcon||//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li/a/i
paymentSlip|secondLockIcon||//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li[2]/a/i
paymentSlip|thirdLockIcon||//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li[3]/a/i
paymentSlip|unlockmonth1||//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li[2]/a
paymentSlip|unlockmonth2||//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li[3]/a
paymentSlip|unlockmonth3|TS11271<name>3月分|//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li[4]/a
paymentSlip|unlockmonth4||//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li[5]/a
paymentSlip|unlockmonth5||//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li[6]/a
paymentSlip|unlockmonth6||//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li[7]/a
paymentSlip|unlockmonth7||//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li[8]/a
paymentSlip|unlockmonth8||//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li[9]/a
paymentSlip|unlockmonth9||//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li[10]/a
paymentSlip|unlockmonth10||//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li[11]/a
paymentSlip|unlockmonth11||//html/body/div[2]/div[5]/div/div/div/div[2]/div/ul/li[12]/a
paymentSlip|employeePageSumm|TS1799<name>月給<data>TS1895<name>月給<data>TS1920<name>月給|//html/body/div[2]/div[5]/div/div/div/div/h4
paymentSlip|salaryEmployeeInf||//html/body/div[2]/div[5]/div/div/div/div[3]
paymentSlip|employee1_InList||//html/body/div[2]/div[4]/div/div/ul/li/a
paymentSlip|employee2_InList||//html/body/div[2]/div[4]/div/div/ul/li[2]/a
paymentSlip|employee3_InList||//html/body/div[2]/div[4]/div/div/ul/li[3]/a
paymentSlip|absenceDays_disp||//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[10]/td/div/span
paymentSlip|weekdayHours_disp||//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[12]/td/div/span/span
paymentSlip|weekdayMins_disp||//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[12]/td/div/span[2]/span
paymentSlip|noWork_Hours_disp||//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[11]/td/div/span/span
paymentSlip|noWork_Mins_disp||//html/body/div[2]/div[5]/div/div/div[2]/div/div/div/div/table/tbody/tr[11]/td/div/span[2]/span
